MX,MY,PVAL
400,60,0.0000
400,70,0.0000
400,80,0.0030
400,90,0.0012
400,100,0.0000
400,125,0.0012
400,150,0.0026
400,200,0.0000
400,250,0.0000
500,60,0.0017
500,70,0.0012
500,80,0.0000
500,90,0.0000
500,100,0.0000
500,125,0.0000
500,150,0.0000
500,200,0.0015
500,250,0.0012
500,300,0.0000
600,60,0.0012
600,70,0.0504
600,80,0.0016
600,90,0.0015
600,100,0.0013
600,125,0.0497
600,150,0.0000
600,200,0.0389
600,250,0.0000
600,300,0.0858
600,400,0.0000
700,60,0.0024
700,70,0.0012
700,80,0.0024
700,90,0.0048
700,100,0.0328
700,125,0.0035
700,150,0.0012
700,200,0.0012
700,250,0.0234
700,300,0.0012
700,400,0.0036
700,500,0.0023
800,60,0.0012
800,70,0.0036
800,80,0.0028
800,90,0.0025
800,100,0.0070
800,125,0.0025
800,150,0.0023
800,200,0.0480
800,250,0.0047
800,300,0.0024
800,400,0.0023
800,500,0.0012
800,600,0.0012
900,60,0.0565
900,70,0.0644
900,80,0.0454
900,90,0.0613
900,100,0.0640
900,125,0.0928
900,150,0.0808
900,200,0.0676
900,250,0.0698
900,300,0.0773
900,400,0.0632
900,500,0.0642
900,600,0.0664
900,700,0.0556
1000,60,0.0588
1000,70,0.0665
1000,80,0.0611
1000,90,0.0885
1000,100,0.0686
1000,125,0.0631
1000,150,0.0763
1000,200,0.0643
1000,250,0.0611
1000,300,0.0656
1000,400,0.0773
1000,500,0.0672
1000,600,0.0694
1000,700,0.0775
1000,800,0.0687
1100,90,0.5736
1100,100,0.5901
1100,125,0.5901
1100,150,0.5776
1100,200,0.6334
1100,250,0.5655
1100,300,0.5777
1100,400,0.6082
1100,500,0.5939
1100,600,0.6056
1100,700,0.5892
1100,800,0.6262
1100,900,0.5853
1200,90,0.5888
1200,100,0.6099
1200,125,0.5982
1200,150,0.5816
1200,200,0.5735
1200,250,0.5675
1200,300,0.6069
1200,400,0.5796
1200,500,0.5696
1200,600,0.5819
1200,700,0.6220
1200,800,0.5782
1200,900,0.5850
1200,1000,0.5694
1400,90,0.6626
1400,100,0.6053
1400,125,0.5819
1400,150,0.5754
1400,200,0.6013
1400,250,0.5902
1400,300,0.5968
1400,400,0.5458
1400,500,0.6000
1400,600,0.5899
1400,700,0.6195
1400,800,0.5805
1400,900,0.5941
1400,1000,0.5863
1400,1200,0.5959
1600,90,0.4836
1600,100,0.4786
1600,125,0.4724
1600,150,0.4677
1600,200,0.4857
1600,250,0.4899
1600,300,0.4526
1600,400,0.5020
1600,500,0.4647
1600,600,0.4845
1600,700,0.4959
1600,800,0.4520
1600,900,0.4677
1600,1000,0.4626
1600,1200,0.4848
1600,1400,0.4693
